成员介绍	member introduction
上議院議席	upper house seat
日文名	Japanese name
祠廟	ancestral temple
人口估計年份	Population Estimate Year
iso碼	iso code
淑妃	Concubine Shu
集目	Collection
出道地點	Debut location
日本音樂專輯	Japanese music album
主持節目	host a show
寬度	width
機位	Seat
服务	Serve
生產總值年度	Annual GDP
編導	Choreographer
9下一節目	9 next show
原創	original
城市精神	city ​​spirit
1up com	1up.com
1st vicecaptain	1st vicecaptain
电报码	telegraph code
相关节目	Related programs
上级机构	Parent body
樂器德文名稱	German name of the instrument
籍貫	Hometown
当地语言名称	local language name
日文名稱	Japanese name
地图	map
屆次	Session
月表行走时间	lunar walking time
活動時期	Active period
結果	result
備考全幅	full size for exam
灭亡事件	demise event
受影響於	affected by
国都	capital
北宋	Northern Song Dynasty
监国时间	Supervision time
貴妃	Concubine
政黨口號	party slogan
国际组织	International organizations
时间	time
國内生產值值數據排名	GDP data ranking
別稱	nickname
爵位	knighthood
三围	measurements
图像替代	image replacement
元服	Yuanfu
多数据来源	Multiple data sources
车站代码	station code
世界都會區人口名次	World Metropolitan Area Population Ranking
没地	no land
作曲	compose
線上收看網站	watch website online
登录	Log in
政府地址	Government address
地圖	map
講師	lecturer
相關人物	Related people
法网最好成绩	French Open best result
國籍	Country of Citizenship
主题	theme
职业	Profession
關鍵人物	key figure
編集	compilation
标志 说明	Logo Description
劇種	drama
現任其他首腦名字一	Names of other current leaders
维度	dimension
人口排名	Population ranking
月表停留时间	Monthly stay time
海外推出国家	Overseas launch countries
首播	premiere
圖像制式	image format
市區	urban area
国内生产总值数据排名	GDP data ranking
часть	часть
榮譽	honor
滅亡時間	death time
现役军人数	active duty military
相关剧集	Related episodes
继任	succession
家名	home name
国际域名缩写	International Domain Abbreviation
後一站	next stop
最大城市名稱	largest city name
行政级别	administrative level
劇本	script
国内生产总值估计年份	Year of GDP estimate
節目	programme
曆法	calendar
最高月均温	The highest monthly average temperature
现双打排名	Current Doubles Ranking
皇居	Imperial Palace
州旗	state flag
校名	School name
職務	job title
所属州	State
穆坤	Mu Kun
軍銜	rank
备注宽度	Note width
國家結構形式	form of state structure
位置圖像	location image
网站	website
電視網名稱	TV network name
人物	figure
水源	water source
族裔	ethnicity
漢字	Chinese character
基尼系数	Gini Coefficient
政府首脳人物	government chief
加拿大新時代高清台	Canadian New Era HD Channel
下级链接	subordinate link
高度	high
其他備註	Other remarks
現任政府首腦名字	Name of current head of government
佔全国面积	Covering the national area
作者	author
人均國內生產總值數據	GDP per capita data
校徽	school badge
国民生产总值	Gross National Product
州务大臣	Secretary of State
洗禮名	baptismal name
正室	main room
澳网最好成绩	Australian Open best results
空欄表題	blank column title
标志 宽度	logo width
中國大陸片名	Chinese mainland titles
东晋	Eastern Jin Dynasty
列車名	train name
劇目	repertoire
徽文件名	Logo file name
照片大小	photo size
登录时间	Log in time
出道作	debut
舊校名	old school name
人口占全国	population of the country
省名原文字	Province name original text
议会席次	Parliament seats
人均生產總值	GDP per capita
死亡日期	date of death
預算	Budget
建校	school
圖片尺寸	size of the picture
注釋	Notes
3下一節目	3 next show
配偶	spouse
经度	longitude
中文名	Chinese name
府邸	mansion
首播地區	First broadcast area
香港	Hongkong
最長河流	longest river
電視	television
最深深度	deepest depth
編劇	screenwriter
中共本级	Chinese Communist Party
原集數	number of original episodes
人均國内生產總值數據	GDP per capita data
县名	County name
黨代表色	Party representative color
gdp年份	gdp year
數位電視供應商	digital TV provider
結束夏時制時區	end daylight saving time zone
最大航程	maximum range
策劃	plan
湖水停留時間	lake dwell time
国家外文全名	Full name of the country in foreign language
經度	longitude
2y	2y
本土语言	native language
網站	website
港澳名稱	Hong Kong and Macau name
香港片名	Hong Kong movie title
統計時間	Statistics Time
人口密度名次	Population density ranking
註冊編號	Registration number
輕小說	light novel
第七屆總選舉排名	Ranking of the seventh general election
品牌	brand
家庭	family
纬度	latitude
图像大小	image size
開發團隊	development team
網址	URL
現任其他領袖名字一	Names of other current leaders
乐器	musical instrument
表弟	cousin
冊封年	canonization year
幼称	baby name
日文原名	Japanese original name
設立始年	Year of establishment
畫像	portrait
使用平台	Use the platform
续集	sequel
学生	student
水上面積	water area
父母	parents
翡翠台播出時間	Emerald TV broadcast time
官職	official position
臺灣	Taiwan
其他名称	other names
教师	teacher
樂器法文名稱	French name of musical instrument
經理人公司	manager company
最後出現	last appear
发售商	Distributor
播放結束	end of play
表格宽度	table width
立世弟	Li Shidi
党名	party name
夫之嫡母	husband's first-mother
巡航半徑	Cruising radius
國土面积數據	land area data
製作人	Producer
圖片大小	size of picture
名字	name
專業	specialized
副校长	Vice-Chancellor
服務開始日	Service start date
2ndregional cup first	2ndregional cup first
吉尼系数	Gini coefficient
编剧	screenwriter
雨量	rainfall
國徽文件名	National emblem file name
停站路線數	number of stops
在德国内的位置图	Location map in Germany
中國	China
港繁	Hong Kong Fan
大嘗祭	Great tasting
載重	load
紋章條目名稱	Heraldic entry name
嫡子	direct son
其他親屬	other relatives
現任其他領袖名字二	Names of other current leaders
本人	myself
授权法源	Authorized source of law
滑跑距離	Rolling distance
節目名稱	name of the show
年份	years
電影原名	original movie title
研究領域	field of study
出生名字	birth name
晚於	later than
图像说明	image description
逝世	pass away
邮址	mailing address
卸任市期	Retirement period
后次任务	next task
1a	1a
封爵	knighted
就任日期	Inauguration date
總面積名次	total area ranking
親戚	relative
信仰	Belief
法律體系	Legal System
回憶場景	memory scene
港简	Hong Kong Jane
建筑面积	construction area
下議院議席	lower house seats
國名	Country names
体重	weight
低級於	lower than
キャラクターボイス	キャラクターボイス
表格形式	Tabular form
逝世地点	place of death
4上一節目	4 Previous show
頻道呼號	channel call sign
簡稱	short name
副首長姓名	Deputy Chief's name
頻道語言	Channel language
建国年	founding year
開播日期	start date
代表人物	Representative
頻道口號	channel slogan
電視台	TV station
國家外文全名	Full name of the country in foreign language
部門標誌	Department logo
编导	Choreographer
製作公司	Production Company
統計年度	Statistical year
收視率調查時間	Viewership survey time
3上一節目	3 Previous show
地区	area
总负债	total liability
国家格言	national motto
序号	serial number
片尾曲	ending song
併入	Incorporate
國家位置圖片文件名	Country location image filename
院校	colleges
新区名称	new district name
主題曲	theme song
國家位置圖片說明	Country location picture description
所屬團體	affiliated group
國內生產總值購買力平價排名	GDP Ranking by Purchasing Power Parity
貨艙容積	Cargo volume
類型	type
车站功能	Station function
所在國家或地區	country or region
被封為	sealed as
质量	quality
战国	Warring States Period
圖説	illustration
播放回数	Playback times
政府所在地	seat of government
高凊翡翠台首播時間	Gao Shen Jade Channel premiere time
翡翠台首播時間	Emerald TV premiere time
佔gdp百分比	% of gdp
时区	Time zone
專長	Expertise
上下車人次	Number of people getting on and off
裝備	equipment
申报地区或单位	Declaration area or unit
gdp佔全國	gdp accounts for the whole country
国旗文件名	flag file name
人员名称	Person's name
州徽	State emblem
4icu	4icu
謚號	posthumous title
國内生產總值购买力平价數據	GDP PPP data
西南	southwest
音楽	music
地球轨道	earth orbit
邮编	post code
製作年份	year of production
5節目名稱	5 Program name
皇女	princess
人物設定	character setting
面積	area
人口估計日期	Population Estimate Date
月球轨道	lunar orbit
国家元首职称	title of head of state
父親	Father
辨事處	Office
著名思想	famous ideas
本级监察	Supervision at this level
區域語言	regional language
腳本	script
国歌名称	national anthem name
频率	frequency
標語	slogan
本级纪检	Disciplinary inspection at this level
安葬地點	place of burial
在位期間	during the tenure
简称	short name
備註寬度	Note width
湖泊面積	lake area
呼號	call sign
在任期間	in office
苏丹	Sudan
自治體	Autonomous body
總督	Governor
舞臺劇	stage show
创作时期	creative period
級別 所屬系統	level system
登月	moon landing
流域面積	Drainage area
臺灣名稱	Taiwan name
君主在位	monarch reigns
年平均温	annual average temperature
新加坡	Singapore
台灣名稱	Taiwan name
曾用名	former name
長官類別	Officer Category
經紀人	broker
元妃	Yuan Fei
庶王女	Concubine
身高	height
簽名	sign
筆名	pen name
颜色	color
中古	Middle Ages
炸彈	bomb
音樂類型	type of music
媒體	media
共同制片人	co-producer
海岸線	coastline
分类	Classification
地級行政區	prefecture-level administrative region
狀態	state
國花	national flower
大陸	mainland
名稱備註	name remarks
唱片公司	Record company
所属联邦州	federal state
2前首相名	2 Former Prime Minister's name
采女	Pick a girl
主要獲獎	major awards
资产负债率	Assets and liabilities
出道作品	Debut works
教師	teacher
參議院議席	Senate seats
嫡王女	Princess of the First Lady
部門標誌尺寸	Department Logo Size
尼爾森	Nelson
代表圖像尺寸	represents the image size
none 電視台	none TV
政治体制	political system
正室之母	The mother of the main room
每集長	length of each episode
其他稱銜	other titles
市长	mayor
2nd vicecaptain	2nd vicecaptain
每集列表	List of each episode
播影時間	Movie time
貨幣符號	currency symbol
簽名大小	Signature size
市章	City Chapter
政治制度二	Political System II
車站編號	station number
圖片簡介	Introduction to pictures
政府首腦職稱	Head of government title
近地点	perigee
吉尼係數	Gini coefficient
演出	show
正线	positive line
西北	northwest
国家位置图片文件名	Country location image filename
国家象徵	national symbol
受洗地點	place of baptism
第六屆總選舉排名	6th General Election Ranking
司法首腦職稱	Head of Judicial Title
假名	pseudonym
建立时间	Build time
之前	Before
顏色	color
人均國內生產總值購買力平價數據排名	GDP per capita PPP data ranking
年號	year number
剪輯	clip
人数	number of people
人口密度排名	Population Density Ranking
嫡母	first-mother
日文假名	Japanese Kana
学生数量	number of students
國内生產總值购买力平價數據排名	GDP PPP data ranking
員額	post
同时	at the same time
第二屆總選舉排名	Ranking of the second general election
粉絲名	fan name
博士生	PhD student
原文名称	original name
轉車	transfer
停車路線數	Number of parking routes
樂器名稱	Instrument name
月球轨道倾角	lunar orbit inclination
代数	Algebra
小说	novel
ответственный	ответственный
第四屆總選舉排名	Fourth general election ranking
樂器圖像	musical instrument images
水體體積	volume of water
停播日期	off-air date
政府首脑职称	Head of government title
韓國名稱	Korean name
時區名稱	time zone name
提供	supply
製作統籌	production coordinator
暱稱	Nick name
國際域名縮寫	International Domain Abbreviation
文字色	text color
校園	campus
呼号	call sign
合并自	merged from
车站拼音	Station Pinyin
图像名称	image name
歌曲代表作	Song masterpiece
国内生产总值数据	GDP data
出品人	publisher
人均生產總值排名	GDP per capita ranking
none 節目名稱	none show name
退役日期	retirement date
插曲	episode
大软	big soft
人均国内生产总值数据排名	GDP per capita data ranking
老校名	old school name
图说	illustration
タイトル	タイトル
卸任日期	Retirement date
視頻制式	Video format
圖像	image
助理编导	Assistant Director
體重	weight
功名	fame
元朝代數	Yuan Dynasty Algebra
湖泊寬度	lake width
通車	open to traffic
音樂製作	music production
水占总面积	total area of ​​water
出生地點	Birth place
燃油量	fuel quantity
電視網商標尺寸	TV network logo size
售價	selling price
放送終了	broadcast is over
內功	internal strength
其他领袖三	three other leaders
演唱	sing
授權法源	Authorized source of law
统计年	Statistical year
外文名	foreign name
hd排名	hd ranking
西晋	Western Jin Dynasty
外文語言	foreign language
所在经度	longitude
中文州名	Chinese state name
片头曲	opening song
自治體名	Local government name
温网最好成绩	Wimbledon best result
專輯	album
説明	illustrate
最低點	lowest point
數據來源	Data Sources
面積名次	Area ranking
學生	student
2nd camera	2nd camera
管理公司	management company
國際功能變數名稱縮寫	international function variable name abbreviation
货币符号	currency symbol
尚宮	Shang Palace
使用平臺	Use the platform
攝影	photography
上集	Part 1
名称起源	Origin of name
發售日	release date
家紋名称	Family crest name
出道年份	Debut year
所属行政区	Administrative region
similar飞机	similar aircraft
鐵路類別	railway category
所有制形式	form of ownership
目前车次	Current trains
7電視台	7TV
军阶	rank
2上一節目	2 Previous show
政治制度一	political system one
cg監督	cg supervision
称呼	call
婚年	wedding year
共同製作人	co-producer
軍歌	military song
人均國内生產總值购买力平價數據	GDP per capita PPP data
温度	temperature
主桅	mainmast
死亡	die
旗文件名	flag filename
地图文件	map file
原文	original
地级行政区	prefecture-level administrative region
牌子	brand
首任在位	first incumbent
演唱會dvd	concert dvd
平均海拔	average altitude
星座	constellation
秘書長姓名	Secretary's name
國際電話區號	International telephone area code
大學部	University Department
續作	sequel
市镇名称	town name
язык	язык
レーベル	レーベル
代理發行	Proxy release
異名	synonym
坐标纬度分	Coordinate latitude minute
號次	number
庶子	Concubine
总序	general order
知名於	known in
图像	image
內閣	cabinet
吉祥物	mascot
货币代码	currency code
服務	Serve
人類發展指數變化	Changes in the Human Development Index
種類	type
none 播放檔次	none play level
朝鮮代數	Korean Algebra
劇本統籌	script coordinator
2在任期間	2 During tenure
頻道	channel
使用	use
舞台劇	stage show
国家	nation
鞋碼	shoe size
圖片描述	image description
原文名	original name
推重比	Thrust to weight ratio
湖泊闊度	lake width
乘客人數	number of passengers
中央政府所在地	seat of central government
行政区类别	Administrative division category
亚瑟 叔本华region	Arthur Schopenhauer region
水佔总面积	total area of ​​water
官方語言	official language
最大城市	largest city
夏時制名稱	Daylight Saving Time Name
人均國內生產總值購買力平價排名	GDP per capita PPP ranking
7播放檔次	7 Play grades
プレイ人数	Number of プレイ
none 首播日期	none premiere date
所属组织类型	type of organization
電話區號	Phone area code
夏時制時區名稱	Daylight saving time zone name
授予給	grant to
美网最好成绩	US Open best score
生日	Birthday
電報略號	telegram abbreviation
1pp	1pp
音樂專輯	Music album
線上收看網址	Online viewing URL
机构类型	Organization Type
集水區國家	catchment country
後綴尊稱	suffix title
5citizenship	5citizenship
行政区数	number of administrative districts
得票數	number of votes
校训	Motto
硕士生	master
湖泊類別	lake category
夫之母	mother of husband
活躍時期	active period
平均深度	average depth
描述	describe
2namedata	2namedata
其他姓名	other name
1up	1up
行政機關首長職稱	Executive title
基尼系数排名	Gini coefficient ranking
何地	where
政府驻地	Government residence
