観測所	observatory
日本語国名	Japanese country name
スカパー 事業者	SKY PerfecTV operator
isoコード	iso code
スタジアム名称	Stadium name
none ドライバー	none driver
民族	People
元首等年代始	beginning of the year
通称号	Nickname
éditeur	editeur
地図画像	map image
当選者推薦 支持	Candidate Recommendation Support
北緯秒	North latitude second
3落選者得票数	3 number of votes lost
クラブ名	club name
シャフレスターン	shafflestan
自治体の数	number of municipalities
3装甲	3 armor
前代	Previous generation
イベント名称	Event name
3pattern	3pattern
他の肩書	other titles
大きさ	size
製造時期	time of manufacture
党名	party name
オリンピック	Olympic
dp統計年	dp statistical year
ウェブサイト	website
ピックアップ	pick up
墓所	graveyard
4前代	4 previous generation
ふりがな	Furigana
建設者	builder
8節目調	8th node tone
議院代表職名	House representative position title
施工	Construction
政策委員会責任者職名	Policy Board Officer Position Title
公用語名称	Official language name
出典の明記	Attribution
ils滑走路	ils runway
氏族	clan
血液型	blood type
次作	next work
比例候補者数	proportional number of candidates
公式サイトタイトル	Official site title
賞歴	Awards
6次番組	6th program
フィンガーボード	finger board
7落選者名	7 names of losers
人口順位	Population ranking
落選者年齢	loser age
下位区分名	subdivision name
クライマックスシリーズ	climax series
次回受賞者	next winner
3武装	3 armament
英文表記	English notation
振興局	Promotion Bureau
外部接続端子	External connection terminal
連盟加盟	Federation membership
アジアシリーズ優勝回数	Asia Series wins
スケール長	scale length
画像の注釈	image annotation
死没日	date of death
カンヌ国際映画祭	Cannes Film Festival
本部所在地	Headquarters location
設置日	Installation date
キロ程	kilometer
4落選者得票率	4 Lost vote rate
出演者	Performer
バスク語	Basque
プロ入り年度	Professional year
4前番組	4 previous program
人数	Number of people
年間適齢到達人数	Number of people reaching the appropriate age per year
副議長氏名	Vice Chair Name
バスク語名	Basque name
家名 爵位	family name
島名	island name
3放送枠	3 broadcast slots
夏時間の等時帯	Isochrones for Daylight Saving Time
解散理由	Reason for dissolution
韓国語	Korean
シリーズ構成	Series configuration
独立市	independent city
地区優勝	district championship
外部リンク	External link
首府	capital
最高司令官名	Supreme Commander Name
面積規模	Area scale
マイレージサービス	Mileage service
ウィングスパン	wingspan
当落	success
3title	3 titles
主な事業	Main business
備考 のスタイル	Remarks style
視聴料金	viewing fee
国防大臣名	Minister of Defense Name
身位	position
経歴年	career years
研究分野	field of study
現地語名	Local language name
信仰	faith
題名	Title
連邦参議院	federal parliament
下院議員数	House of Representatives
現在の代表番組	Current representative program
本店郵便番号	Head office zip code
後継	successor
周囲	surroundings
担当官庁	Office in charge
開館年	Opening year
主な戦歴	Main battle history
本姓	real surname
綱階級なし	No Rope Class
競輪場名	Velodrome name
面積	area
参考資料	Reference material
コントロールノブ	control knob
人口密度 平方キロ当たり	Population density per square kilometer
チーム代表	team representative
所属グループ	Group membership
国略称	country abbreviation
公式国名	official country name
所有者	owner
現役軍人数	Active military personnel
4放送枠	4 broadcast slots
標高	elevation
放送時間	Airtime
当選者新旧別	New and old winners
2総重量	2 gross weight
口径	caliber
アクセス	access
英語名称	English name
路線番号	route number
就任日	Inauguration date
エレベーター数	number of elevators
緯度度	latitude
上下院 一院制	House of Representatives unicameral system
市章の説明	Explanation of the city emblem
空港名	airport name
開会宣言	Opening declaration
副総督	lieutenant governor
4節目調	4th knot tone
初出作品	first appearance
代表得点	national team score
廃止日	Obsolete date
運営者	Administrator
話数	number of episodes
署名サイズ	signature size
提供	offer
ナレーター	narrator
学名	scientific name
3shorts	3shorts
番組名	program name
gdpmer追記	add gdpmer
地方行政区分	local administrative division
編集人 役職	editor
崩御場所	place of death
活動備考	Activity remarks
更新	update
終了号	end number
リアピックアップ	rear pickup
リーグ優勝	league championship
最高峰	highest peak
国際電話番号追記	Add international phone number
スポーツ歴	Sports history
引退	retirement
地図サイズ	map size
来場者数	The number of visitors
影響を受けた人物	person affected
最新レース	latest race
確立年月日	Established date
死没地	death ground
部分的失敗	partial failure
国際電話番号	international phone number
亜科	Subfamily
w杯最高成績	world cup best
打ち上げ数	number of launches
ピン音	pin sound
永久欠番	retired number
参加人数	The number of participants
前職	former job
ピッチサイズ	pitch size
本部	headquarters
subdivisión	subdivision
最新版発表日	Latest release date
ハブ空港	hub airport
最大の都市	largest city
観点	point of view
全米映画俳優組合賞	Screen Actors Guild Award
開催都市	Host city
音声	audio
代表出場 得点	National Team Score
最大差勝利試合開催月日	Date of the biggest win match
編集人 氏名	Editor Name
発生年	year of occurrence
年号	Era name
国章画像	national emblem image
映画	movie
本拠	headquarters
音楽レーベル	music label
キー局	key station
3次番組	3rd program
製作会社	production company
格闘スタイル	fighting style
日本語	Japanese
開通年	Opening year
最寄駅	nearest station
生地	material
人口の出典	population source
設立日	Date of establishment
画像コメント	image comment
投獄	imprisonment
滑走路 幅m	Runway width m
地図	map
自治体コード	Municipality code
開館日	Opening date
副党首氏名	Deputy leader name
収容人員	Capacity
現職者就任日	Incumbent appointed date
次大会	Next tournament
(李顕龍 面積順位	(Lee Hyun-ryong area ranking
予算	budget
バックログ	Back log
人口の時点	time of population
チャンピオン回数	Number of champions
2前首相名	2 Former prime minister's name
bandera名称	bandera name
edテーマ	ed theme
código iso	codigo iso
製作総指揮	Executive Producer
g副シャツ	g vice shirt
全名	full name
準プレーオフ回数	Quasi-playoff count
王室歌	royal song
レイアウト	layout
出身校	Alma mater
8落選者年齢	8 Unsuccessful age
大学名	University name
片仮名	Katakana
1節目調	1st knot tone
最終戦	Final battle
落選者得票率	Unsuccessful vote percentage
所在地郵便番号	Location postal code
参加国数	Participating countries
幕府	Shogunate
作者	author
呼出名称	Call name
時間帯追記	add time zone
3全高	3 total height
公開	Release
大型映像装置	large screen
前回優勝	Last time winner
店舗数	Number of stores
音楽	music
リーダー	leader
都市圏人口密度 平方マイル	Metropolitan Area Population Density Square Mile
1option link	1option link
得点数	number of points
預金残高	deposit balance
ウィキソース	Wikisource
時間帯	time zone
元服	coming-of-age ceremony
宗教	religion
プレーオフ 前後期制 回数	Playoffs First and second half system Number of times
局名	station name
7落選者所属	7 unsuccessful affiliation
リンク	Link
優勝回数	Number of wins
スポンサー	sponser
純資産	net worth
4pp	4pp
音楽モード	music mode
開局年	Year of opening
製造期間	manufacturing period
3枚目画像名	3rd image name
駐車台数	Parking number
発行日	date of issue
カンファレンス優勝	conference winner
落選者所属	Unsuccessful candidate's affiliation
内閣	Cabinet
家紋名称	family crest name
デモス	Demos
崩御年月日時	Date of death
初勝利	First victory
君主家	monarch house
時代設定	period setting
6節目調	6th knot tone
議員定数	number of members
主な管轄	Main jurisdiction
注音符号	Zhuyin sign
ペルシア語州名	Persian state names
男女	man and woman
ポジション	position
公用語名	Official name
自治体首長	local government head
貯水量	water storage
生誕年	year of birth
クラブ国籍	club nationality
歌など	songs, etc.
位置図幅	Location map width
支店舗数	Number of branches
記念競輪開催月	Commemorative bicycle race holding month
愛称	Nickname
隣接都道府県	Adjacent prefectures
開会式	Opening ceremony
表記	labels
州のgdp	state gdp
運航停止日	Suspension date
死没	death
内容過剰	Excessive content
3前首相名	3 Former prime minister's name
政党	political party
再送信 配信	Resend Delivery
総資産	Total assets
出場試合数	Number of games played
足のサイズ	foot size
ウエスト	waist
大婚年月日	Great marriage date
国歌追記	national anthem postscript
事件番号	case number
fd年	fd year
所在地幅	Location width
文字色	Letter color
誕生年月日時	date of birth
重量	weight
バンク	bank
自動リンクなし	No automatic link
スカパー 開局年	SKY PerfecTV opening year
陵墓	mausoleum
国旗幅	flag width
都道府県章の説明	Explanation of prefecture emblem
日本語版声優	Japanese voice actor
次の駅	next station
政府首脳官職	head of government
ディレクtv	direct tv
オリンピック出場回数	Olympic appearances
デザイン	design
総務会長	Chairman of General Affairs
シュート	shoot
2放送枠	2 broadcast slots
演出	staging
流派	school
代表者種別	Representative type
特記すべき概念	notable concepts
戴冠日	Coronation date
キロ程s	km
コールサイン	callsign
人口統計年	demographic year
大学の略称	College abbreviation
所属委員会	Affiliation Committee
2落選者推薦 支持	2Recommend unsuccessful candidates Support
王家	royal family
大会名称	Tournament name
党派	party
国語	national language
5落選者所属	5 unsuccessful affiliation
営業キロ	operating kilometer
クラブライセンス	club license
使用チーム 大会	Used team Tournament
解散年月日	Dissolution date
時点	point in time
政府首脳人物	head of government
ゴールデンラズベリー賞	golden raspberry award
下院代表氏名	House representative name
開発元	Developer
8落選者得票数	8 number of unsuccessful votes
画像補正	image correction
2落選者当落	2 losers
現職画像	Incumbent image
本名ピン音	real name pinyin
スタンレーカップ	stanley cup
聖歌伝統	chant tradition
議員会館	Congressman's Office Building
今年度	this year
開館公演	Opening performance
ロサンゼルス映画批評家協会賞	Los Angeles Film Critics Association Awards
実務総数	Total number of practices
最多出場選手	Most appearances
電化方式	Electrification method
線路数	number of tracks
総面積	total area
政治的思想 立場	political ideology
4落選者得票数	4 number of unsuccessful votes
出典	source
学生数	number of students
州旗画像	state flag images
種類	type
the dragonsカラー	the dragons color
全幅滑走路	full width runway
精度	accuracy
コンストラクターズタイトル	constructors title
ゲマインデ	gemainde
芸名	stage name
統計年	statistical year
none 北緯 及びs 南緯	none north latitude and s south latitude
所在地	location
特撮	special effects
得点王	Top scorer
反対意見	opposite opinion
州章	state emblem
6落選者新旧別	6 Unsuccessful candidates old and new
背番号	uniform number
当選者所属	Winner's affiliation
代表成績更新日	Representative update date
4落選者新旧別	4 Unsuccessful candidates old and new
優勝歴	Winning history
原国籍	original nationality
都市圏人口密度 平方キロ	metropolitan area population density square kilometer
人口値	Population value
官位	official rank
廟号	mausoleum
分野	field
開設	opening
ポケモン名	pokemon name
キャラクター名設定	Character name setting
任命者	appointee
4名称	4 name
頭頂高	head height
収容能力	capacity
高さ	height
当選者比例重複	Winner proportional overlap
bクラス	b class
2武装	2 armament
片仮名表記	Katakana notation
略称	Abbreviation
現職	Incumbent
ディビジョン優勝	division winner
名前	name
区旗の説明	Ward flag explanation
称号 勲章	title medal
販売期間	Sales period
プレーオフ 前後期制	playoff
発表期間	Presentation period
売上本数	number of units sold
年間女性適齢到達人数	Number of women reaching the appropriate age per year
最高出力	Maximum output
放送開始	Broadcast start
次回選挙	next election
国章説明	Description of national emblem
2落選者新旧別	2 Unsuccessful candidates old and new
通貨コード	currency code
4落選者年齢	4 Unsuccessful age
建築面積	building area
首相	prime minister
本名繁体字	real name traditional
5落選者新旧別	5 Unsuccessful candidates old and new
所属路線	Belonging route
陸上面積 平方キロ	square kilometer of land area
打ち上げ費用	launch cost
照明	illumination
天皇名	emperor name
公式ページ名	Official page name
チャンネル名称	channel name
4節目題目	Section 4 title
ディレクtv開局月	direct tv opening month
乗換	transfer
の画像	Image of
学派	school
事業内容	Business content
自由項目 内容	Free item Contents
州議会	state legislature
立ち位置	Standing position
営業期間	business period
ダッグアウト	dugout
領域	region
連邦上院議員	federal senator
サイズ	size
市街地人口密度 平方マイル	Urban Population Density Square Mile
過去のチーム名	old team name
g第 ストッキング	gth stockings
旗画像	flag image
指定日	Designated date
主要な作品	major works
位置画像幅	position image width
簡体字	Simplified characters
本名発音	real name pronunciation
登録	register
選挙回数	number of elections
gdp追記	add gdp
サイン	sign
建国年月日	Founding date
人口年	population year
通貨	currency
得点	score
総人口	Total population
最高売上ソフト	best selling software
ディビジョナル チャンピオンシップ年度	Divisional Championship Year
放送終了	End of broadcast
元振付師	Former choreographer
営利性	commercial
参戦中	Participating
球団名称	Team name
8節目題目	Section 8 title
シリーズ出場	Series entry
キノティタス	Kinotitas
主題歌	theme song
氏姓	surname
諡号	posthumous name
レコードカテゴリ	record category
建設費	construction cost
4放送局	4 broadcasting stations
画像キャプション	image caption
パーソナリティ	personality
エンジン	engine
結果	result
終了日	End date
電話番号	phone number
2落選者得票率	2 Lost vote rate
次回年度	next fiscal year
人名	person's name
内容	content
使用車両	Vehicle used
パートナー	partner
最低標高	Minimum altitude
población puesto	población puesto
夏時間	daylight saving time
撮影	photograph
即位	enthronement
ナショナルチームによる国際大会	International competition by national teams
意見	opinion
境界未定	border undecided
支庁	branch office
スコアボード	score board
番組	program
異称	nickname
路線距離	route distance
身長	height
リーグ優勝回数	Number of league wins
変遷	change
搭載機器	On-board equipment
ディレクター	director
統一金融機関コード	Uniform financial institution code
原語	original language
曖昧	ambiguous
閉塞方式	Obstruction method
死亡	death
発行済株式総数	Total number of issued shares
g正ストッキング	g positive stockings
拠点航空会社	base airline
装甲	armor
旗要約	flag abstract
アカデミー賞	Academy awards
国章幅	national emblem width
市外局番	Area code
著名な家族	prominent family
主要技術	Main technology
運用者	operator
水域面積	water area
アレクサ	Alexa
軌道半長径	orbital radius
2節目題目	Section 2 title
軌間	Gauge
独自研究	original research
航空連合	airline alliance
議長出身党派	party from the president
5前番組	5 previous program
出版社	the publisher
右袖	right sleeve
選手写真ファイル名	player photo file name
専門分野	Specialized field
サスペンション	suspension
呼称	name
none 東経 及びw 西経	none east longitude and w west longitude
会社名	company name
使用期間	Period of use
在位	reign
次回受賞作	Next award-winning work
上院代表職名	Senate representative title
大嘗祭	Daijosai
夏時間の協定世界時との時差	Time difference between daylight saving time and Coordinated Universal Time
副駅名	Sub station name
推奨環境	Recommended environment
特別定価	special price
死去地	place of death
下位分類	subclass
ターミナル数	number of terminals
1option	1 option
活動時期	Activity period
発着回数	Arrival and departure times
キャプション	caption
sp年	sp year
死去	passed away
監督歴	Director history
放送回数	Broadcast times
出生	Birth
2枚目画像の説明	Description of the second image
有罪判決	conviction
ブリッジ	bridge
最低点	lowest point
軍歴	military career
打上げ日時	Launch date and time
アナログ閉局日	Analog closing date
シノニム	synonym
公認政党	recognized political party
測地系	Geodetic system
創立年	Founding year
f正シャツ	f positive shirt
運行者	operator
本拠地	home base
首相等氏名	Name of prime minister
最大差勝利試合	Biggest Winning Match
平仮名	hiragana
アニメ	animation
人口密度値	Population density value
cgモード	cg mode
5落選者得票率	5 Lost vote rate
第一作ソフト	first software
本社郵便番号	Head office zip code
冊数	number of books
北緯分	north latitude
参戦年度	Fiscal Year
g副ストッキング	g vice stockings
前の駅	previous station
駅間b	between stations b
チーム代表者	team representative
水面面積比率	Water surface area ratio
スカパー ch	SKY PerfecTV ch
規模	scale
8落選者新旧別	8 Unsuccessful candidates old and new
省略	omit
発行部数調査機関	Circulation survey agency
スタッフ	staff
関連キャラクター	Related characters
東経分	east longitude
落選者得票数	Number of votes lost
別名義	another name
シリーズ優勝	Series winner
淡汽	light steam
保有車両数	Number of owned vehicles
生誕地	place of birth
州名	state name
上院議席数	Senate seats
スコア	Score
床面積	floor space
ボディ	body
紋章名	coat of arms name
ネット局	net station
漢字表記	Kanji notation
振付師	Choreographer
ポールポジション	pole position
最高速度	maximum speed
現在の番付	Current number
得票順位	Voting rank
6落選者所属	6 unsuccessful affiliations
州首相肩書	title of premier
自動車	Automobile
現当主	current head
人口測定時期	Population measurement period
滑走路 方向	runway direction
予備役軍人数	Reserve military personnel
コーナー数	number of corners
都道府県	Prefectures
世帯数	number of households
gdp値mer	gdp value mer
開港	port opening
兵種	type of soldier
演奏所	concert hall
上級部隊	senior unit
日本語名	Japanese name
ホームタウン	home town
都市圏人口	urban area population
面積大きさ	area size
紋章画像	coat of arms image
車両重量	vehicle weight
ディレクtv開局日	direct tv opening date
ステージ勝利数	Number of stage wins
競技種目数	Number of sports events
himno名称	himno name
コンストラクター名	constructor name
当選者年齢	Age of winner
g第 パンツ	gth pants
状態	situation
下綱階級なし	No junior class
地域	area
オーナー	owner
拡張	Expansion
身体接触	physical contact
本拠地画像	base image
アブコワールドトロフィー優勝	Abuco World Trophy Winner
下部組織	infrastructure
刊行期間	publication period
距離	distance
準プレーオフ	Quasi-playoff
初の国際試合開催月日	Date of the first international match
区章の説明	Explanation of Ward Insignia
協会	Association
レ値	value
州知事	governor
ディレクtv閉局日	direct tv closing date
次番組備考	Next program remarks
枚数	Number of sheets
郵便略号	postal abbreviation
1p	1p
任期	term of office
所属組織	Affiliation
寄せ	Gathering
建国形態	form of founding
就航都市	Destination city
現職代数	incumbent algebra
制作局	production department
レーベル	label
統計の年	year of statistics
姿勢制御方式	Attitude control method
客席	audience
プレーオフ	play off
乗降人員	passengers
下院議席数	number of seats in the House of Representatives
初の国際試合対戦相手	first international opponent
売上高	amount of sales
ひかりtv	hikari tv
iso符号	iso code
組織名	organization name
活動地域	Area of ​​activity
宣伝	propaganda
河口	estuary
上映スクリーン数	number of screening screens
代表出場	National team appearance
原題	original title
経度秒	longitude second
都道府県名	Name of prefectures
主要人物	main character
発行人	Publisher
確立形態	Established form
代数	algebra
英文誌名	English journal name
出場得点	participation score
放送局	Broadcaster
楽器	instrument
画像サイズ	image size
視聴可能世帯数	Number of viewing households
区旗	ward flag
市章	city ​​emblem
開業日	Opening date
担当地域	Responsible area
最新作発売日	latest release date
航空会社	Airlines
チーム	team
g副パンツ	g vice pants
着工	start of construction
議会運営	parliamentary operation
画像の見出し	image heading
リーグ	league
列聖場所	place of canonization
名前変更	rename
5落選者年齢	5 Age of losers
アジアシリーズ出場回数	Asia Series Appearances
首都	capital
座標	Coordinate
次首相名	name of next prime minister
体重	body weight
国語の呼称	Name of national language
流量	flow rate
1作目発売日	1st release date
概要	Overview
方向滑走路	direction runway
進化後	after evolution
自由項目 項目名	Free item Item name
エンディング数	number of endings
ロゴデザイン	logo design
出場	Participation
等時帯	isochronous
渾名	nickname
放送映画批評家協会賞	Broadcast Film Critics Association Award
解散年	Dissolution year
区の歌	Ward song
記念日	anniversary
特別閉局日	Special closed day
選出国	elected country
隣接自治体	Adjacent municipality
効力発生	coming into force
戴冠	crowning
3原動機関	3 engine
テクニカルディレクター	technical director
拠点	Base
番号	number
1option color	1 option color
コンティニュー	continue
開催時期	Held time
人口数	Population
国旗縁	flag edge
5落選者比例重複	5 loser proportional overlap
ファイナル進出	Advance to the final
7放送局	7 broadcasting stations
最高到達点	highest point
ブルーリボン賞	blue ribbon award
敷地面積	site area
適用年齢	Applicable age
敬称	title
標語	slogan
6落選者得票率	6 Lost vote rate
国際化	Internationalization
字幕	subtitles
後政府	post-government
2特能装備	2 special equipment
année	année
位置画像説明	position image description
w杯出場回数	number of world cup appearances
5番組名	5 program name
最新版	Latest edition
会場	venue
副党首職名	Deputy Party Leader Title
主君	lord
大会名	Tournament name
表面滑走路	surface runway
概算信徒数	Approximate number of believers
準州章	territorial emblem
5節目調	5th knot tone
経歴	Career
民族語名称	Ethnic name
党首氏名	party leader name
州鳥	state bird
都道府県旗の説明	Description of prefecture flags
氏名	Full name
ディレクtv閉局年	DirecTV closing year
所属	Affiliation
3pf名称	3pf name
設計年	design year
pf名称	pf name
没地	death
スタジアム	stadium
全画面表示モード	Full screen mode
特筆性	Notable
開始	start
主構造物	main structure
長さ	length
3前代	3 previous generation
前回受賞者	previous winner
コース長	Course length
前作	previous work
和名	Japanese name
画像代替文	image alternative
ダンス年	dance year
ナット	nut
